_id,name,code,docstring,human_label,one_line_summary,function_behavior,function_signature,examples,precond_postcond
636767691a6d9265ec0181aa,nullSafeHashCode,"public static int nullSafeHashCode(long[] array){
  if (array == null) {
    return 0;
  }
  int hash=INITIAL_HASH;
  int arraySize=array.length;
  for (int i=0; i < arraySize; i++) {
    hash=MULTIPLIER * hash + hashCode(array[i]);
  }
  return hash;
}
","/** 
 * Return a hash code based on the contents of the specified array. If <code>array</code> is <code>null</code>, this method returns 0.
 * @param array the long array to obtain a hashcode
 * @return the long array's hashcode, which could be 0 if the array is null.
 */
","Compute the hash code of the whole array, by accumulating the multiplication of each element hash code and the  MULTIPLIER.",Computes a hash code for a long array safely handling null values.,"The function calculates a hash code for a given array of longs, returning 0 if the array is null. It starts with an initial hash value and iteratively updates the hash using each element in the array, multiplied by a constant multiplier and combined with each element's hash code using a helper method `hashCode(array[i])`.",The function takes a `long[]` array as input and returns an `int` as the hash code.,"- Typical usage: `nullSafeHashCode(new long[]{1, 2, 3})` returns a computed hash code based on `[1, 2, 3]`.
   - Boundary edge case: `nullSafeHashCode(null)` returns `0`.
   - Special or unusual case: `nullSafeHashCode(new long[]{})` returns the initial hash value since the array is empty.","Expects a `long[]` or `null` as input; outputs an `int` that represents the array's hash code or `0` if null is provided.
---"
636767441a6d9265ec017cc1,rotateRight,"private TreeNode<T> rotateRight(TreeNode<T> node){
  TreeNode<T> left=node.left;
  left.parent=null;
  node.setLeftChild(left.right);
  left.setRightChild(node);
  node.updateHeightAndSubtreeSize();
  left.updateHeightAndSubtreeSize();
  return left;
}
","/** 
 * Performs a right node rotation.
 * @param node a node to rotate
 * @return a new parent of the {@code node}
 */
",Perform a right node rotation on the AVL tree.,Performs a right rotation on a binary tree node.,The function rotates the subtree rooted at the given node to the right by following these steps: 1) It makes the left child of the node the new root of the subtree. 2) The right child of the left child becomes the left child of the old root node. 3) It updates the parental relation and reconnects the subtree to the old root. 4) It updates the height and subtree size attributes for both the old root and new root nodes.,The function takes a single parameter `node` of type `TreeNode<T>` and returns a `TreeNode<T>`.,"- *Typical usage:* Rotating a node with a left child and adjusting tree structure.
      - Input: `node = (3, left=(1, right=2))`
      - Output: `new root = (1, right=(3, left=2))`
   - *Boundary edge case:* Rotating a node with no left child.
      - Input: `node = (3, left=null)`
      - Output: No change, returns the same node.
   - *Special case:* Subtree with various heights.
      - Input: `node = (10, left=(5, left=3, right=8))`
      - Output: `new root = (5, right=(10, left=8))`","The function assumes that the input node is non-null and part of a well-formed binary tree. After the function is executed, the subtree rooted at the node will be rotated to the right, maintaining binary tree properties.
---
```"
6367677e1a6d9265ec01830f,format,"public String format(LoggingEvent event){
  if (sbuf.capacity() > MAX_CAPACITY) {
    sbuf=new StringBuffer(BUF_SIZE);
  }
 else {
    sbuf.setLength(0);
  }
  PatternConverter c=head;
  while (c != null) {
    c.format(sbuf,event);
    c=c.next;
  }
  return sbuf.toString();
}
","/** 
 * Produces a formatted string as specified by the conversion pattern.
 */
","Format the buffered string with the pattern converter, and return the result.",Formats a logging event using a specified pattern conversion.,"The function first checks if the StringBuffer `sbuf` exceeds `MAX_CAPACITY`, reallocating it if necessary and resetting its length otherwise. It then iterates through a linked list of `PatternConverter` objects starting with `head`, applying each converter to format the `sbuf` based on the `LoggingEvent` details. Finally, it returns the formatted string from the buffer.","The function takes one parameter: a `LoggingEvent` object, and returns a `String`.","- **Typical usage:**  
     - Input: `event = new LoggingEvent(""message"")`  
     - Output: ""INFO - message"" (Assuming a pattern that formats messages with level)  
   - **Boundary edge case:**  
     - Input: `event = new LoggingEvent("""")`  
     - Output: ""INFO - "" (Empty event message)  
   - **Special or unusual case:**  
     - Input: `event = null` (not typical usage)  
     - Output: """" or an exception, depending on handling of nulls in `format` method inside `PatternConverter`.","The input `event` is expected to be an instance of `LoggingEvent`. The function assumes `sbuf` and `head` are properly initialized. The output is a formatted string representation based on the pattern converters.
---
```"
636767031a6d9265ec0178dd,contentLength,"public long contentLength(){
  long size;
  try {
    size=Long.parseLong(request.getHeader(FileUpload.CONTENT_LENGTH));
  }
 catch (  NumberFormatException e) {
    size=request.getContentLength();
  }
  return size;
}
","/** 
 * Retrieve the content length of the request.
 * @return The content length of the request.
 * @since 1.3
 */
","Compute and return the length of the request content header, return the content length if NumberFormatException happens.",Returns the content length of a file upload request.,"Attempts to extract the content length from the request header using `FileUpload.CONTENT_LENGTH`; if parsing fails, uses `request.getContentLength()`.",No parameters; returns a long representing the content length.,"- Typical usage: Content-Length header is ""1024"", returns `1024L`.
   - Boundary edge case: Content-Length header is missing, returns value from `request.getContentLength()`.
   - Special or unusual case: Content-Length header is ""notANumber"", returns value from `request.getContentLength()`.","Requires a valid HTTP request object; ensures a non-negative long output representing content length.
---"
636766f11a6d9265ec017658,indexOfLastSeparator,"public static int indexOfLastSeparator(String filename){
  if (filename == null) {
    return -1;
  }
  int lastUnixPos=filename.lastIndexOf(UNIX_SEPARATOR);
  int lastWindowsPos=filename.lastIndexOf(WINDOWS_SEPARATOR);
  return Math.max(lastUnixPos,lastWindowsPos);
}
","/** 
 * Returns the index of the last directory separator character. <p> This method will handle a file in either Unix or Windows format. The position of the last forward or backslash is returned. <p> The output will be the same irrespective of the machine that the code is running on.
 * @param filename  the filename to find the last path separator in, null returns -1
 * @return the index of the last separator character, or -1 if thereis no such character
 */
","Return the index of the last directory separator character, under Unix or Windows.",Finds the last occurrence of file path separators in a filename string.,"The function checks for the last occurrence of both Unix-like '/' and Windows '\' separators in the provided filename and returns the index of the last occurrence among them. If the filename is null, it returns -1.",Takes a String `filename` as input and returns an `int` representing the index.,"- Typical usage: `indexOfLastSeparator(""path/to/file.txt"")` returns `8`.
   - Boundary edge case: `indexOfLastSeparator(""file"")` returns `-1`.
   - Special or unusual case: `indexOfLastSeparator(""C:\\path\\to\\file.txt"")` returns `10`.","- Preconditions: The input `filename` is a `String` or null.
   - Postconditions: The function returns a non-negative integer index of the last separator or -1 if none exists.
---
```"
636767121a6d9265ec017b0a,parseEndOfLine,"private int parseEndOfLine(String headerPart,int end){
  int index=end;
  for (; ; ) {
    int offset=headerPart.indexOf('\r',index);
    if (offset == -1 || offset + 1 >= headerPart.length()) {
      throw new IllegalStateException(""Expected headers to be terminated by an empty line."");
    }
    if (headerPart.charAt(offset + 1) == '\n') {
      return offset;
    }
    index=offset + 1;
  }
}
","/** 
 * Skips bytes until the end of the current line.
 * @param headerPart The headers, which are being parsed.
 * @param end Index of the last byte, which has yet been processed.
 * @return Index of the \r\n sequence, which indicates end of line.
 */
",Parse the header part starting from the given end position and return the index of the enter sequence. ,Find the position of '\r\n' sequence ending a line in a string segment.,"The function iteratively searches for the sequence '\r\n' in a given string, starting from a specified index. It returns the position of the '\r' if found; otherwise, it throws an exception if the sequence is not found before the string ends.","The function takes a `String` `headerPart` and an `int` `end`, and returns an `int`.","- Typical usage: 
     Input: `parseEndOfLine(""Header line\r\nAnother line\r\n"", 0)`
     Output: `11`
   - Boundary edge case:
     Input: `parseEndOfLine(""\r\n"", 0)`
     Output: `0`
   - Special or unusual case:
     Input: `parseEndOfLine(""No newline"", 0)`
     Output: throws `IllegalStateException`","- Preconditions: `headerPart` is a non-null string; `end` is a valid index within `headerPart`.
   - Postconditions: Returns the index of '\r' if followed by '\n', throws exception otherwise.
---
```"
636766f61a6d9265ec017701,lastIndexOf,"public static int lastIndexOf(String str,String searchStr){
  if (StringUtils.isEmpty(str)) {
    return StringUtils.INDEX_NOT_FOUND;
  }
  return str.lastIndexOf(searchStr);
}
","/** 
 * Finds the last index within a String, handling <code>null</code>. This method uses  {@link String#lastIndexOf(String)}. 
 */
","Find the last index of the searchStr in str, and return INDEXNOTFOUND if str is empty.","Returns the last index where a substring occurs in a string, or a constant if the string is empty.","The function checks if the string `str` is empty using `StringUtils.isEmpty`; if it is, it returns `StringUtils.INDEX_NOT_FOUND`. Otherwise, it uses the `lastIndexOf` method of the `String` class to find the last occurrence of `searchStr` within `str` and returns that index.","Takes two `String` parameters (`str`, `searchStr`) and returns an `int`.","- Typical usage: `lastIndexOf(""hello, world"", ""o"")` returns `8`.
   - Boundary edge case: `lastIndexOf("""", ""o"")` returns `StringUtils.INDEX_NOT_FOUND`.
   - Special case: `lastIndexOf(""hello"", ""z"")` returns `-1`.","- Preconditions: `str` and `searchStr` are both non-null strings.
   - Postconditions: Returns the last index of `searchStr` in `str`, or `StringUtils.INDEX_NOT_FOUND` if `str` is empty or `searchStr` does not occur in `str`.
---
```"
6367670b1a6d9265ec0179fe,write,"@Override public void write(byte b[]) throws IOException {
  checkThreshold(b.length);
  getStream().write(b);
  written+=b.length;
}
","/** 
 * Writes <code>b.length</code> bytes from the specified byte array to this output stream.
 * @param b The array of bytes to be written.
 * @exception IOException if an error occurs.
 */
",Write the given byte array b into the output stream that this class represents.,Writes byte array data to an output stream while tracking the number of bytes written and checking the write threshold.,"The function checks if the length of the byte array `b[]` exceeds a certain threshold through `checkThreshold()`, then writes the byte array to the associated output stream using `getStream().write(b)`, and increments the `written` count by the length of the byte array.",Takes a single parameter `b[]` of type `byte[]` and returns nothing (`void`); may throw `IOException`.,"- Typical usage: Input: `write(new byte[]{0, 1, 2})` → Writes the bytes 0,1,2, increases `written` by 3.
   - Boundary edge case: Input: `write(new byte[]{})` → Writes nothing, `written` remains unchanged.
   - Special or unusual case: Input: `write(new byte[]{Byte.MAX_VALUE, Byte.MIN_VALUE})` → Writes max and min byte values, `written` increases by 2.","- Preconditions: 
     - `b` should be a non-null array of bytes.
     - The output stream derived from `getStream()` should be open and writable.
     - `checkThreshold(b.length)` must handle the byte array length correctly.
   - Postconditions: 
     - Byte array `b` is written to the output stream.
     - The `written` counter is incremented by the length of `b`.
     - If an error occurs during writing, an `IOException` is thrown.
---
```"
636767df1a6d9265ec01873c,id,"public String id(String entityId){
  if (entityId == null) {
    return String.valueOf(point);
  }
 else {
    return point + Const.ID_CONNECTOR + entityId;
  }
}
","/** 
 * @return the row id
 */
",Return the id by concatenating the point and the entity id with id connector.,Concatenates a constant prefix with an entity ID if provided.,"Returns a string that combines a constant value `point` and a connecting string if `entityId` is non-null; otherwise, it returns the string representation of `point`.",The function takes a single parameter `entityId` of type `String` and returns a `String`.,"- Typical usage: `id(""123"")` may return `""point_value-123""`.
   - Boundary edge case: `id(null)` returns `""point_value""`.
   - Unusual case: If `entityId` is `""""`, it may return `""point_value-""`.","The `entityId` can be `null` or any string, and `point` should be initialized and `Const.ID_CONNECTOR` should be defined. The function must return a valid string even for `null` input.
---
```"
636766f91a6d9265ec01777f,toBoolean,"public static boolean toBoolean(Boolean bool){
  if (bool == null) {
    return false;
  }
  return bool.booleanValue() ? true : false;
}
","/** 
 * <p>Converts a Boolean to a boolean handling <code>null</code> by returning <code>false</code>.</p> <pre> BooleanUtils.toBoolean(Boolean.TRUE)  = true BooleanUtils.toBoolean(Boolean.FALSE) = false BooleanUtils.toBoolean(null)          = false </pre>
 * @param bool  the boolean to convert
 * @return <code>true</code> or <code>false</code>, <code>null</code> returns <code>false</code>
 */
",Convert a Boolean to a boolean handling null by returning false.,Converts a Boolean object to a primitive boolean value.,"The function checks if the provided Boolean object is null; if it is, it returns false. Otherwise, it returns the primitive boolean value that the Boolean object represents.",The function takes a single parameter of type Boolean and returns a primitive boolean.,"- Typical usage: `toBoolean(Boolean.TRUE)` returns `true`.
   - Boundary edge case: `toBoolean(null)` returns `false`.
   - Special case: `toBoolean(Boolean.FALSE)` returns `false`.","- Preconditions: The input can be a Boolean object or null.
   - Postconditions: The output is a primitive boolean value, with null objects resulting in `false`.
---"
6367675f1a6d9265ec0180d3,identity,"public static <V,E>IsomorphicGraphMapping<V,E> identity(Graph<V,E> graph){
  Map<V,V> fMap=CollectionUtil.newHashMapWithExpectedSize(graph.vertexSet().size());
  Map<V,V> bMap=CollectionUtil.newHashMapWithExpectedSize(graph.vertexSet().size());
  for (  V v : graph.vertexSet()) {
    fMap.put(v,v);
    bMap.put(v,v);
  }
  return new IsomorphicGraphMapping<>(fMap,bMap,graph,graph);
}
","/** 
 * Computes an identity automorphism (i.e. a self-mapping of a graph in which each vertex also maps to itself).
 * @param graph the input graph
 * @param < V > the graph vertex type
 * @param < E > the graph edge type
 * @return a mapping from graph to graph
 */
",Compute and return an identity automorphism for the given graph.,"Returns a mapping of a graph to itself, establishing an identity isomorphism.","The function creates a mapping from each vertex in the graph to itself, forming a bijective mapping for each vertex in both forward (`fMap`) and backward (`bMap`) directions, subsequently returning an `IsomorphicGraphMapping` object that maps the graph to itself using these maps.","The function takes one parameter, a `Graph<V,E>` object representing the graph, and returns an `IsomorphicGraphMapping<V,E>` object.","- Typical usage: For a graph `G` with vertices {A, B, C}, `identity(G)` returns a mapping where A->A, B->B, C->C.
   - Boundary edge case: For an empty graph `G`, `identity(G)` returns an `IsomorphicGraphMapping` with empty maps.
   - Special or unusual case: For a graph `G` with a single vertex {A}, `identity(G)` returns a mapping where A->A.","- Preconditions: The input must be a valid graph object with a defined set of vertices.
   - Postconditions: The output is an `IsomorphicGraphMapping` that represents an identity mapping from the graph to itself.
---
```"
636766ff1a6d9265ec017851,findByte,"protected int findByte(byte value,int pos){
  for (int i=pos; i < tail; i++) {
    if (buffer[i] == value) {
      return i;
    }
  }
  return -1;
}
","/** 
 * Searches for a byte of specified value in the <code>buffer</code>, starting at the specified <code>position</code>.
 * @param value The value to find.
 * @param pos   The starting position for searching.
 * @return The position of byte found, counting from beginning of the<code>buffer</code>, or <code>-1</code> if not found.
 */
","Searche for a byte of the specified value in the buffer, starting at the specified position.",Find the index of a specified byte value in a buffer array starting from a given position.,"The function iterates through a buffer array from a specified starting position to the end, returning the index of the first occurrence of a specified byte value; if not found, it returns -1.",Takes a byte `value` to search for and an integer `pos` indicating the starting position; returns an integer.,"- **Typical usage:** Given `buffer = {1, 2, 3, 4}` and `pos = 1`, `findByte(3, 1)` returns `2`.
   - **Boundary edge case:** Given `buffer = {1, 2, 3, 4}` and `pos = 4`, `findByte(3, 4)` returns `-1`.
   - **Special or unusual case:** Given `buffer = {1, 2, 2, 2}` and `pos = 0`, `findByte(2, 2)` returns `2`.","Assumes `buffer` is initialized and `pos` is within bounds [0, buffer.length); returns index or -1 if value is not found within the range starting from `pos`.
---
```"
