_id,name,code,docstring,human_label,one_line_summary,function_behavior,function_signature,examples,precond_postcond,candidate,exit_code,generated_by,predicted_exit_code
636766f81a6d9265ec01775c,toString,"public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */
","Return the string representation of the given object, return an empty string if the object is null.",Returns object's string representation or empty string if null.,Converts an object to its string representation using `toString()` method. Returns an empty string if the object is null.,"@param obj Object: The object to convert to a string.
   @return String: The string representation of the object or an empty string for null objects.","null -> """" (null object returns empty string)
""Hello"" -> ""Hello"" (string object returns itself)
new Integer(5)
-> ""5"" (integer object returns its string representation)","Accepts any object type, returns a string. Will not throw exceptions or modify the input object.","public static String toString(Object obj){
		if(obj == null)
			return """";
		else
			return obj.toString();
}",0,CodeLlama-7b-Instruct-hf,1.0
636766f81a6d9265ec01775c,toString,"public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */
","Return the string representation of the given object, return an empty string if the object is null.",Returns object's string representation or empty string if null.,Converts an object to its string representation using `toString()` method. Returns an empty string if the object is null.,"@param obj Object: The object to convert to a string.
   @return String: The string representation of the object or an empty string for null objects.","null -> """" (null object returns empty string)
""Hello"" -> ""Hello"" (string object returns itself)
new Integer(5)
-> ""5"" (integer object returns its string representation)","Accepts any object type, returns a string. Will not throw exceptions or modify the input object.","public static String toString(Object obj){
    return """";
}",1,starcoder2-7b,1.0
6367667f1a6d9265ec017457,decodeOctets,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.",Decode and append bytes to a StringBuilder.,"The function reads bytes from ByteBuffer, decodes them as a UTF-8 string, appends the result to StringBuilder, and returns an incremented index based on the byte sequence length.","@param i int: The initial index.
@param bb ByteBuffer: The byte buffer containing octets.
@param sb StringBuilder: The StringBuilder to append decoded characters.
@return int: The updated index after decoding.","1 byte with value < 0x80 -> index+2 (decoded single byte)
Multiple bytes -> index + bytes_count*3 - 1 (decoded multiple bytes)","ByteBuffer contains valid UTF-8 encoding, CharBuffer decoding must succeed.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
",0,reference,1.0
6367667f1a6d9265ec017457,decodeOctets,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.",Decode and append bytes to a StringBuilder.,"The function reads bytes from ByteBuffer, decodes them as a UTF-8 string, appends the result to StringBuilder, and returns an incremented index based on the byte sequence length.","@param i int: The initial index.
@param bb ByteBuffer: The byte buffer containing octets.
@param sb StringBuilder: The StringBuilder to append decoded characters.
@return int: The updated index after decoding.","1 byte with value < 0x80 -> index+2 (decoded single byte)
Multiple bytes -> index + bytes_count*3 - 1 (decoded multiple bytes)","ByteBuffer contains valid UTF-8 encoding, CharBuffer decoding must succeed.","private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
    int codePoint = 0;
    int bytesToRead = 1;
    int bitCount = 0;

    if ((i & 0x80) == 0) {
        // Single byte UTF-8 character (0xxxxxxx)
        codePoint = i & 0xFF;
    } else {
        while ((i & 0x80) != 0) {
            i <<= 1;
            bytesToRead++;
            bitCount += 7;
        }
        byte[] octets = new byte[bytesToRead];
        for (int j = 0; j < bytesToRead; j++) {
            octets[j] = bb.get();
        }

        for (byte b : octets) {
            codePoint <<= 6;
            codePoint |= (b & 0x3F);
        }

        codePoint &= ~(0xFFFF << (21 - bitCount));
    }

    sb.appendCodePoint(codePoint);
    return i + bytesToRead;
}",1,Qwen2.5-Coder-7B-Instruct,1.0
636766aa1a6d9265ec0175ce,visitFrameStart,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.",Initializes or resizes an integer array for frame data.,"Allocates or resets currentFrame to store offset, numLocal, and numStack values, storing them at specified indices.","@param offset int: Frame offset.
@param numLocal int: Number of local variables.
@param numStack int: Number of stack elements.
@return int: Always returns 3.","5, 2, 3 -> 3 (Initializes currentFrame array of length 8 with given values)
10, 0, 5 -> 3 (Initializes currentFrame array of length 8 with given values)
0, 3, 4 -> 3 (Initializes currentFrame array of length 10 with given values)",Preconditions: numLocal and numStack are non-negative. Postconditions: currentFrame is initialized or resized to correctly hold the frame data.,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
",0,reference,1.0
636766aa1a6d9265ec0175ce,visitFrameStart,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.",Initializes or resizes an integer array for frame data.,"Allocates or resets currentFrame to store offset, numLocal, and numStack values, storing them at specified indices.","@param offset int: Frame offset.
@param numLocal int: Number of local variables.
@param numStack int: Number of stack elements.
@return int: Always returns 3.","5, 2, 3 -> 3 (Initializes currentFrame array of length 8 with given values)
10, 0, 5 -> 3 (Initializes currentFrame array of length 8 with given values)
0, 3, 4 -> 3 (Initializes currentFrame array of length 10 with given values)",Preconditions: numLocal and numStack are non-negative. Postconditions: currentFrame is initialized or resized to correctly hold the frame data.,"public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
    // Print the inputs for demonstration
    System.out.println(""Offset: "" + offset);
    System.out.println(""Number of Local Variables: "" + numLocal);
    System.out.println(""Number of Stack Elements: "" + numStack);

    // Return a constant value
    return 3;
}",1,deepseek-coder-6.7b-instruct,
636767191a6d9265ec017c0f,enlarge,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
","Enlarge the byte vector data, by increasing it by the given size.",Enlarges byte array to accommodate additional size.,Creates a new byte array with a size that is either double the original or large enough to fit the current data plus an additional size. Copies existing data to the new array and updates the reference.,@param size int: The additional capacity needed.,"data length = 10, size = 5 -> new array of size 20 (capacity doubled)
data length = 10, size = 15 -> new array of size 25 (capacity based on minimal need)",Preconditions: 'data' must be a valid byte array; 'length' is the current data size. Postconditions: 'data' has been enlarged to accommodate additional elements.,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
",0,reference,
636767191a6d9265ec017c0f,enlarge,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
","Enlarge the byte vector data, by increasing it by the given size.",Enlarges byte array to accommodate additional size.,Creates a new byte array with a size that is either double the original or large enough to fit the current data plus an additional size. Copies existing data to the new array and updates the reference.,@param size int: The additional capacity needed.,"data length = 10, size = 5 -> new array of size 20 (capacity doubled)
data length = 10, size = 15 -> new array of size 25 (capacity based on minimal need)",Preconditions: 'data' must be a valid byte array; 'length' is the current data size. Postconditions: 'data' has been enlarged to accommodate additional elements.,"private void enlarge(final int size){
    final byte[] oldData = data;
    final int currentSize = data.length;
    data = new byte[currentSize + size];
    System.arraycopy(oldData, 0, data, 0, oldData.length);
}",1,starcoder2-7b,1.0
636767821a6d9265ec0183a0,deleteFile,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Delete's the specified file if it exists 
 */
",Delete the given file if it exists,Deletes a file if it exists.,The function checks if a file with the given name exists and deletes it if present.,@param fileName String: The name of the file to be deleted.,"""test.txt"" -> null (Deletes ""test.txt"" if it exists)
""nonexistent.txt"" -> null (Does nothing if ""nonexistent.txt"" doesn't exist)
""/path/to/file.txt"" -> null (Deletes the file at specified path if it exists)","The file must be present for deletion; after execution, the file is either deleted or remains unchanged if it doesn’t exist.","protected static void deleteFile(String fileName){
    File file = new File(fileName);
    if (file.exists()){
        if(file.delete()){
            System.out.println(""Deleted the file: "" + fileName);
        }else{
            System.out.println(""Failed to delete the file: "" + fileName);
        }
    }else{
        System.out.println(""The file does not exist: "" + fileName);
    }
}",0,Qwen2.5-Coder-7B-Instruct,
636767821a6d9265ec0183a0,deleteFile,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Delete's the specified file if it exists 
 */
",Delete the given file if it exists,Deletes a file if it exists.,The function checks if a file with the given name exists and deletes it if present.,@param fileName String: The name of the file to be deleted.,"""test.txt"" -> null (Deletes ""test.txt"" if it exists)
""nonexistent.txt"" -> null (Does nothing if ""nonexistent.txt"" doesn't exist)
""/path/to/file.txt"" -> null (Deletes the file at specified path if it exists)","The file must be present for deletion; after execution, the file is either deleted or remains unchanged if it doesn’t exist.","protected static void deleteFile(String fileName){
	Path targetPath = Paths.get(fileName);
	if(Files.exists(targetPath)) Files.deleteIfExists(targetPath);
}",1,starcoder2-7b,1.0
636767691a6d9265ec0181aa,nullSafeHashCode,"public static int nullSafeHashCode(long[] array){
  if (array == null) {
    return 0;
  }
  int hash=INITIAL_HASH;
  int arraySize=array.length;
  for (int i=0; i < arraySize; i++) {
    hash=MULTIPLIER * hash + hashCode(array[i]);
  }
  return hash;
}
","/** 
 * Return a hash code based on the contents of the specified array. If <code>array</code> is <code>null</code>, this method returns 0.
 * @param array the long array to obtain a hashcode
 * @return the long array's hashcode, which could be 0 if the array is null.
 */
","Compute the hash code of the whole array, by accumulating the multiplication of each element hash code and the  MULTIPLIER.","Computes the hash code for a long array, handling null safely.",Calculates a combined hash code for all elements in the array or returns 0 if the array is null.,"@param array long[]: The array to compute the hash code for.
@return int: The computed hash code or 0 if the array is null.","null -> 0 (array is null)
[1, 2, 3] -> someHash (combines hashes)
[] -> anotherHash (empty array)","Array may be null, result is integer hash code, 0 if null.","public static int nullSafeHashCode(long[] array){
if (array == null) {
return 0;
}
int hash = INITIAL_HASH;

for (int i = 0; i < array.length; i++) {
hash = MULTIPLIER * hash + hashCode(array[i]);
}
return hash;
}",0,CodeLlama-7b-Instruct-hf,1.0
636767691a6d9265ec0181aa,nullSafeHashCode,"public static int nullSafeHashCode(long[] array){
  if (array == null) {
    return 0;
  }
  int hash=INITIAL_HASH;
  int arraySize=array.length;
  for (int i=0; i < arraySize; i++) {
    hash=MULTIPLIER * hash + hashCode(array[i]);
  }
  return hash;
}
","/** 
 * Return a hash code based on the contents of the specified array. If <code>array</code> is <code>null</code>, this method returns 0.
 * @param array the long array to obtain a hashcode
 * @return the long array's hashcode, which could be 0 if the array is null.
 */
","Compute the hash code of the whole array, by accumulating the multiplication of each element hash code and the  MULTIPLIER.","Computes the hash code for a long array, handling null safely.",Calculates a combined hash code for all elements in the array or returns 0 if the array is null.,"@param array long[]: The array to compute the hash code for.
@return int: The computed hash code or 0 if the array is null.","null -> 0 (array is null)
[1, 2, 3] -> someHash (combines hashes)
[] -> anotherHash (empty array)","Array may be null, result is integer hash code, 0 if null.","public static int nullSafeHashCode(long[] array){
 if (array == null) {
    throw new IllegalArgumentException(""Null array"");
 }
 int hash = NULL\_HASH;
 for(long element : array) {
   hash = MULTIPLIER * hash + Long.hashCode(element);
 }
 return hash;
}",1,starcoder2-7b,1.0
